Region,Post,Language Name
EMA,Albania,Albanian
EMA,Armenia,Armenian
EMA,Azerbaijan,Azerbaijani
IAP,Belize,Garifuna
IAP,Belize,Kriol
IAP,Belize,Mopan Maya
IAP,Belize,Spanish
IAP,Belize,Q'ueqchi (Maya)
AF,Benin,Adja
AF,Benin,Agni
AF,Benin,Bariba
AF,Benin,Dendi
AF,Benin,Fon
AF,Benin,French
AF,Benin,Mina
AF,Benin,Nagot
AF,Benin,Boo
AF,Benin,Goun
AF,Benin,Idaatcha
AF,Benin,Nateni
AF,Benin,Nyende
AF,Benin,Sahoue
AF,Benin,Tori
AF,Benin,Fulfulde
AF,Benin,Ife
AF,Benin,Kotafon
AF,Benin,Kotokoli
AF,Benin,Yoruba
AF,Botswana,Setswana
AF,Botswana,Ikalonga
AF,Botswana,Sekgalagadi
EMA,Bulgaria,Bulgarian
AF,Burkina Faso,Bissa
AF,Burkina Faso,Bwamu
AF,Burkina Faso,Dagara
AF,Burkina Faso,Gourematche
AF,Burkina Faso,Jula
AF,Burkina Faso,Karaboro
AF,Burkina Faso,Katsena
AF,Burkina Faso,Lobiri
AF,Burkina Faso,Lyele
AF,Burkina Faso,Moore
AF,Burkina Faso,Nuni
AF,Burkina Faso,Dioula
AF,Burkina Faso,Sissala
AF,Burkina Faso,Gulmancema
EMA,Cambodia,Khmer
AF,Cameroon,Pidgin (Cameroon)
AF,Cape Verde,Creole (Cape Verde)
AF,Cape Verde,Portuguese
EMA,China,Chinese / Mandarin
IAP,DOMINICAN REPUBLIC,Creole (Haiti)
IAP,Eastern Caribbean,Kweyole
IAP,Eastern Caribbean,Kweyol
IAP,Ecuador,Kichwa
AF,Ethiopia,Amharic
AF,Ethiopia,Oromo / Afan Oromo
AF,Ethiopia,Tigrigna
IAP,Fiji,Fijian
IAP,Fiji,Hindi
EMA,Georgia,Georgian
EMA,Georgia,Russian
AF,Ghana,Dagaare
AF,Ghana,Dagbani
AF,Ghana,Dangme
AF,Ghana,Ewe
AF,Ghana,Gonja
AF,Ghana,Gurune
AF,Ghana,Likpakpaln
AF,Ghana,Sissali
AF,Ghana,Twi
AF,Ghana,Buili
AF,Ghana,Kasem
AF,Ghana,Nzema
IAP,Guatemala,K«iche
IAP,Guatemala,Kaqchikel
IAP,Guatemala,Mam
IAP,Guatemala,Q«iqchi
IAP,Guatemala,Q«eqchi
IAP,Guatemala,K'iche
IAP,Guatemala,Qeqchi
AF,Guinea,Malinke
AF,Guinea,Pulaar
AF,Guinea,Soussou
AF,Guinea,Susu
EMA,Indonesia,Indonesian
EMA,Indonesia,Javanese
EMA,Indonesia,Maduranese
EMA,Indonesia,Madurese
IAP,Jamaica,Other (1)
IAP,Jamaica,Jamaican Patois
EMA,Jordan,Arabic (Jordan)
EMA,Kazakhstan,Kazakh
AF,Kenya,Kenyan Sign Language
AF,Kenya,Swahili / Kiswahili
AF,Kenya,Bukusu
AF,Kenya,Dholuo
AF,Kenya,Kamba
AF,Kenya,Kikuyu
AF,Kenya,Maa
AF,Kenya,Maragoli
AF,Kenya,Meru
AF,Kenya,Samia
AF,Kenya,Tachoni
EMA,Kyrgyz Republic,Kyrgyz
EMA,Kyrgyz Republic,Uzbek
AF,Lesotho,Sesotho / Suthu
AF,Lesotho,Xhosa
AF,Liberia,Basa
AF,Liberia,Gola
AF,Liberia,Grebo
AF,Liberia,Kpelle
AF,Liberia,Loma
AF,Liberia,Mano/Gio
AF,Liberia,Vai
AF,Liberia,Liberian English
AF,Liberia,Mano
AF,Liberia,Mende
AF,Liberia,Gio
AF,Liberia,Kissi
AF,Liberia,Krahn
EMA,Macedonia,Macedonian
AF,Madagascar,Antandroy
AF,Madagascar,Antanosy
AF,Madagascar,Antesaka
AF,Madagascar,Bara
AF,Madagascar,Betsileo
AF,Madagascar,Betsimisaraka
AF,Madagascar,Mahafaly
AF,Madagascar,Malagasy
AF,Madagascar,Sakalava
AF,Madagascar,Tsimihety
AF,Malawi,Chichewa
AF,Malawi,Chitonga
AF,Malawi,Chitumbuka
AF,Malawi,Chilambya
AF,Malawi,Chindali
AF,Malawi,Chisena
AF,Mali,Bambara
AF,Mali,Boomu
AF,Mali,Dogon
AF,Mali,Bomu
