Date,Fiscal Year,Volunteers
30-Jun-61,FY 1961,124
30-Jun-62,FY 1962,"2,816"
30-Jun-63,FY 1963,"6,554"
30-Jun-64,FY 1964,"10,078"
30-Jun-65,FY 1965,"13,248"
30-Jun-66,FY 1966,"15,556"
30-Jun-67,FY 1967,"14,968"
30-Jun-68,FY 1968,"13,823"
30-Jun-69,FY 1969,"12,131"
30-Jun-70,FY 1970,"9,513"
30-Jun-71,FY 1971,"8,338"
30-Jun-72,FY 1972,"6,894"
30-Jun-73,FY 1973,"7,341"
30-Jun-74,FY 1974,"8,044"
30-Jun-75,FY 1975,"7,015"
30-Jun-76,FY 1976,"5,958"
30-Jun-77,FY 1977,"5,752"
30-Sep-78,FY 1978,"7,072"
30-Sep-79,FY 1979,"6,328"
30-Sep-80,FY 1980,"5,994"
30-Sep-81,FY 1981,"5,445"
30-Sep-82,FY 1982,"5,380"
30-Sep-83,FY 1983,"5,483"
30-Sep-84,FY 1984,"5,699"
30-Sep-85,FY 1985,"6,264"
30-Sep-86,FY 1986,"5,913"
30-Sep-87,FY 1987,"5,219"
30-Sep-88,FY 1988,"5,812"
30-Sep-89,FY 1989,"6,248"
30-Sep-90,FY 1990,"5,583"
30-Sep-91,FY 1991,"5,866"
30-Sep-92,FY 1992,"5,831"
30-Sep-93,FY 1993,"6,467"
30-Sep-94,FY 1994,"6,745"
30-Sep-95,FY 1995,"7,218"
30-Sep-96,FY 1996,"6,910"
30-Sep-97,FY 1997,"6,612"
30-Sep-98,FY 1998,"6,410"
30-Sep-99,FY 1999,"6,983"
30-Sep-00,FY 2000,"7,164"
30-Sep-01,FY 2001,"6,643"
30-Sep-02,FY 2002,"6,636"
30-Sep-03,FY 2003,"7,533"
30-Sep-04,FY 2004,"7,733"
30-Sep-05,FY 2005,"7,810"
30-Sep-06,FY 2006,"7,749"
30-Sep-07,FY 2007,"8,079"
30-Sep-08,FY 2008,"7,876"
30-Sep-09,FY 2009,"7,671"
30-Sep-10,FY 2010,"8,655"
30-Sep-11,FY 2011,"9,095"
30-Sep-12,FY 2012,"8,073"
30-Sep-13,FY 2013,"7,209"
30-Sep-14,FY 2014,"6,818"
30-Sep-15,FY 2015,6919
